name,type6C_T1.G.1_T1.G.1_gap2,type6C_T1.G.1_T1.G.2_gap2,type6C_T1.G.1_T1.G.3_gap2,type6C_T1.G.1_T1.G.4_gap2,type6C_T1.G.1_T1.G.5_gap2,type6C_T1.G.2_T1.G.1_gap2,type6C_T1.G.2_T1.G.2_gap2,type6C_T1.G.2_T1.G.3_gap2,type6C_T1.G.2_T1.G.4_gap2,type6C_T1.G.2_T1.G.5_gap2,type6C_T1.G.3_T1.G.1_gap2,type6C_T1.G.3_T1.G.2_gap2,type6C_T1.G.3_T1.G.3_gap2,type6C_T1.G.3_T1.G.4_gap2,type6C_T1.G.3_T1.G.5_gap2,type6C_T1.G.4_T1.G.1_gap2,type6C_T1.G.4_T1.G.2_gap2,type6C_T1.G.4_T1.G.3_gap2,type6C_T1.G.4_T1.G.4_gap2,type6C_T1.G.4_T1.G.5_gap2,type6C_T1.G.5_T1.G.1_gap2,type6C_T1.G.5_T1.G.2_gap2,type6C_T1.G.5_T1.G.3_gap2,type6C_T1.G.5_T1.G.4_gap2,type6C_T1.G.5_T1.G.5_gap2,target
CPP_negative_1,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_positive_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
CPP_negative_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_positive_4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1
CPP_negative_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_negative_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_negative_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
CPP_positive_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1
CPP_negative_9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0
CPP_negative_10,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
